"","country","date","ccode","year","Month","Election.Lower","Inauguration.Lower","Election.Upper","Inauguration.Upper","Election.Exec","Inauguration.Exec","Combo","who","sessions","reservedareasecandfin","urgencybills","residualdecree","cdacontent","cdaoutcome","referendum2","budgetspending","budgetoutcome","vetochambers","vetooverride","lineitem","partialobservationsoverride","budgetveto","h_ballot","h_vote","h_pool","s_ballot","s_vote","s_pool","hpartys","govsh","mingov","govcoal"
"85","Argentina",Jan 1986,10,1986,"January",NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"86","Argentina",Feb 1986,10,1986,"February",NA,1,NA,1,NA,NA,5,1,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"87","Argentina",Mar 1986,10,1986,"March",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"88","Argentina",Apr 1986,10,1986,"April",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"89","Argentina",May 1986,10,1986,"May",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"90","Argentina",Jun 1986,10,1986,"June",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"91","Argentina",Jul 1986,10,1986,"July",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"92","Argentina",Aug 1986,10,1986,"August",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"93","Argentina",Sep 1986,10,1986,"September",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"94","Argentina",Oct 1986,10,1986,"October",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
